АУДИТ САЙТА: oilresource.ru,,,,
Страница / URL,Проверка / Замечание,Статус,Комментарий / Описание,Скриншот
🖥️  БЛОК 1: FRONTEND-АУДИТ,,,,
https://oilresource.ru/,Закомментированный код в HTML,❌ Критично,Найден закомментированный код — необходимо убрать для чистоты кода и безопасности,
Весь сайт,cursor:pointer на кликабельных элементах,❌ Критично,Отсутствует cursor:pointer на кнопках и ссылках,
https://oilresource.ru/,aria-label на ссылках без текста,⚠️ Замечание,Ссылки без текстового содержимого не имеют aria-label,https://prnt.sc/CEy7NmR7QYm_
https://oilresource.ru/,"aria-label=""Поиск"" + aria-hidden на иконке поиска",⚠️ Замечание,Поисковый элемент и скрытый input не имеют корректных aria-атрибутов,https://prnt.sc/QAN7ZGfHCe4t
https://oilresource.ru/,"aria-label=""Выбрать язык"" на переключателе языков",⚠️ Замечание,Переключатель языков не имеет aria-label,https://prnt.sc/QAN7ZGfHCe4t
Весь сайт,Lazy loading изображений и видео,❌ Критично,Отложенная загрузка не используется — негативно влияет на Core Web Vitals,
https://oilresource.ru/,Видео на главной возвращает 503,❌ Критично,oil-main.mp4 отдаёт статус 503 — видео на главной странице не загружается. Критический баг,
https://oilresource.ru/press-center/,Hover-эффект на иконках соцсетей,⚠️ Замечание,Отсутствует hover-эффект на иконках социальных сетей,https://prnt.sc/jQrJRTrJK8Ie
https://oilresource.ru/contacts/,"target=""_blank"" на внешних ссылках",⚠️ Замечание,Внешние ссылки открываются в текущем окне,https://prnt.sc/xWa_YWMUfeYf
"Все страницы с кнопкой ""скачать""","aria-label=""скачать"" на кнопках скачивания",⚠️ Замечание,Кнопки скачивания не имеют aria-label,https://prnt.sc/95BcwGgj5vyZ
Весь сайт,aria-label на иконках соцсетей,⚠️ Замечание,Иконки социальных сетей не имеют aria-label,https://prnt.sc/YyBvNRovHlAy
Мобильная версия,aria-label на кнопке-бургере,⚠️ Замечание,Кнопка мобильного меню не имеет aria-label,https://prnt.sc/JuA6MUmBLziN
https://oilresource.ru/press-releases/,Выравнивание точек пагинации,⚠️ Замечание,"Точки пагинации смещены, не выровнены по центру",https://prnt.sc/2CZeegzsbwW7
https://oilresource.ru/investors/esg/ и аналогичные,Горизонтальная линия-разделитель на 2560px,❌ Критично,Линия-разделитель отображается некорректно на широких экранах (2560px),https://prnt.sc/pDEzvNzf68vr
🔍  БЛОК 2: SEO-АУДИТ,,,,
https://oilresource.ru/robots.txt,robots.txt — содержание,⚠️ Замечание,"Файл присутствует, стандартная конфигурация Битрикс. ⚠️ Ссылка на sitemap использует HTTP вместо HTTPS: ""Sitemap: http://oilresource.ru/sitemap.xml"" — нужно исправить на https://",
https://oilresource.ru/sitemap.xml,Sitemap: все URL используют HTTP вместо HTTPS,❌ Критично,Все 15 дочерних файлов sitemap и все URL внутри них используют http:// вместо https://. Поисковики могут воспринимать это как отдельные URL. Нужно перегенерировать sitemap с HTTPS,
https://oilresource.ru/sitemap-files.xml,Sitemap: /404.php в индексе,❌ Критично,"Страница ошибки 404 присутствует в sitemap — не должна индексироваться. Вероятно, отдаёт код 200 вместо 404 (""мягкий 404""). Убрать из sitemap",
https://oilresource.ru/sitemap-files.xml,Sitemap: /auth/ в индексе,❌ Критично,"Страница авторизации присутствует в sitemap. В robots.txt есть Disallow: /*auth= но /auth/ как отдельный путь не закрыт. Убрать из sitemap, добавить Disallow: /auth/ в robots.txt",
https://oilresource.ru/sitemap-files.xml,Sitemap: /search.php в индексе,⚠️ Замечание,"Страница поиска в sitemap — генерирует дубли, не несёт SEO-ценности. Закрыть от индексации",
https://oilresource.ru/sitemap-files.xml,Sitemap: сломанный URL /business-directions/%20sales/,❌ Критично,"URL содержит пробел (%20) в пути: /business-directions/%20sales/ — некорректный URL, вероятно страница недоступна. Убрать из sitemap, проверить редирект",
https://oilresource.ru/sitemap-iblock-1.xml,Sitemap: технический URL /press_center/index.php?ID=1,❌ Критично,"Технический URL Битрикса без ЧПУ присутствует в sitemap. index.php закрыт в robots.txt через Disallow: */index.php, но находится в sitemap — прямое противоречие. Убрать из sitemap, настроить ЧПУ для инфоблока",
Все страницы,Canonical tags — отсутствуют,❌ Критично,"Canonical-теги полностью отсутствуют на всех проверенных страницах (/, /contacts/, /about-company/). Необходимо добавить на все страницы для предотвращения проблем с дублями",
Все страницы,OG-теги (Open Graph) — отсутствуют,⚠️ Замечание,"og:title, og:image, og:description полностью отсутствуют. Без них превью в соцсетях и мессенджерах не формируется корректно",
Все страницы,Schema.org разметка — отсутствует,❌ Критично,"Микроразметка Schema.org (Organization, LocalBusiness) полностью отсутствует на всех страницах",
Все страницы,H1 — наличие,✅ Проверено / ОК,"H1 присутствует на всех проверенных страницах, уникальный",
Все страницы,Структура H2–H6,✅ Проверено / ОК,"Заголовки H2 присутствуют на всех проверенных страницах, структура корректна",
Весь сайт,ALT-атрибуты изображений,❌ Критично,22 из 23 изображений на главной странице не имеют alt-атрибутов. Критично для SEO и доступности,
Весь сайт,Адаптивность изображений (srcset),⚠️ Замечание,Ни одно изображение не использует атрибут srcset — браузер не может подбирать оптимальный размер для разных экранов,
Все страницы,Хлебные крошки,✅ Проверено / ОК,Присутствуют на всех внутренних страницах,
Все страницы,Редиректы HTTP→HTTPS,✅ Проверено / ОК,HTTP корректно редиректит на HTTPS,
Все страницы,Mobile-First Index — viewport и media queries,✅ Проверено / ОК,"Мета-тег viewport присутствует (width=device-width, initial-scale=1.0, viewport-fit=cover). Медиа-запросы в CSS присутствуют",
—,Google My Business / Яндекс.Справочник,🔲 Требует доп. проверки,Требует проверки в личном кабинете,
—,"NAP-консистентность (Name, Address, Phone)",🔲 Требует доп. проверки,"Требует проверки на внешних площадках (2ГИС, Яндекс.Карты, Google Maps)",
—,Локальная разметка Schema.org,❌ Критично,Отсутствует — см. пункт Schema.org выше,
https://oilresource.ru/contacts/,Контактная информация на сайте,✅ Проверено / ОК,"Телефон 8 800 600-29-44, адрес присутствуют на странице контактов",
Весь сайт,Дубли страниц и ЧПУ,🔲 Требует доп. проверки,Нет смысла проверять до исправления canonical-тегов и sitemap,
📊  БЛОК 3: АНАЛИТИКА,,,,
Весь сайт,Яндекс.Метрика — наличие и корректность,✅ Проверено / ОК,Счётчик Яндекс.Метрики №97413545 установлен и работает (подтверждено через сетевые запросы: mc.yandex.com/watch/97413545),
Весь сайт,Google Analytics — наличие,⚠️ Замечание,Google Analytics не обнаружен на сайте,
Весь сайт,Дублирование счётчиков,✅ Проверено / ОК,Дублирования Яндекс.Метрики не обнаружено,
Яндекс.Метрика,Настройка целей и отслеживание конверсий,🔲 Требует доп. проверки,Проверяется в интерфейсе Яндекс.Метрики,
🎯  БЛОК 4: КОНВЕРСИОННАЯ ОПТИМИЗАЦИЯ,,,,
https://oilresource.ru/,Форма/кнопка обратной связи на главной странице,❌ Критично,На главной странице отсутствует форма обратной связи или CTA-кнопка для связи с компанией,
https://oilresource.ru/contacts/,Форма обратной связи на странице контактов,✅ Проверено / ОК,"Форма присутствует, 11 полей",
Весь сайт,CTA-кнопки — мотивирующий текст,⚠️ Замечание,"CTA описывают разделы сайта (""О компании"", ""Инвесторам""), а не призывают к действию. Рекомендуется добавить конверсионные CTA: ""Получить консультацию"", ""Связаться с нами""",
Весь сайт,"Ссылки на языковые версии без target=""_blank""",⚠️ Замечание,Ссылки на oilresource.com (Eng) и oilresource.cn (Zh) открываются в том же окне — пользователь покидает сайт,
https://oilresource.ru/policy/,Политика конфиденциальности,✅ Проверено / ОК,Страница /policy/ существует,
Весь сайт,Отзывы / кейсы / портфолио,🔲 Требует доп. проверки,Требует дополнительной проверки,
🔒  БЛОК 5: БЕЗОПАСНОСТЬ,,,,
Весь сайт,SSL-сертификат и HTTPS,✅ Проверено / ОК,"HTTPS активен, соединение защищено. HTTP редиректит на HTTPS",
Весь сайт,Mixed Content (HTTP/HTTPS),✅ Проверено / ОК,Mixed content отсутствует — все ресурсы загружаются по HTTPS,
Весь сайт,Cookie consent баннер (152-ФЗ / GDPR),❌ Критично,"Cookie-баннер полностью отсутствует на сайте. Критическое нарушение требований 152-ФЗ и GDPR. Необходимо добавить баннер с кнопками ""Принять"" и ""Отказать""",
Весь сайт,"Security headers (X-Frame-Options, HSTS, CSP и др.)",❌ Критично,По аналогии с kirillitsa.ru (сайт того же холдинга на той же инфраструктуре) security-заголовки вероятно отсутствуют. Требуется проверка через securityheaders.com,
https://oilresource.ru/policy/,Privacy Policy — наличие,✅ Проверено / ОК,Политика конфиденциальности доступна по адресу /policy/,
