SEO-продвижение сайта oilresource.ru,Периодичность,Специалист,"Ставка, руб",Рабочие часы,"Цена, руб
без НДС 5%",НДС 5%,Сумма с НДС 5%
Этап 1 — Базовый технический аудит,,,,,,,
- Технический SEO-аудит сайта,1 раз,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
"- Аудит on-page (контент, метатеги, заголовки)",1 раз,SEO-специалист,"3,200.00",5.00,"16,000.00",800.00,"16,800.00"
- Анализ конкурентов,1 раз,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
- Аудит ссылочного профиля,1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
- Аудит скорости загрузки (Core Web Vitals),1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
"- Аудит систем аналитики и существующих метрик сайта
(Яндекс Метрика, Вебмастер, данные о трафике и конверсиях)",1 раз,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
Повторный технический аудит,ежеквартально,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
Этап 2 — Семантическое ядро,,,,,,,
"Сбор семантического ядра
(коммерческие, брендовые, информационные запросы)",1 раз,SEO-специалист,"3,200.00",12.00,"38,400.00","1,920.00","40,320.00"
Распределение запросов по страницам,1 раз,SEO-специалист,"3,200.00",5.00,"16,000.00",800.00,"16,800.00"
Расширение семантики / добавление новых кластеров,ежемесячно,SEO-специалист,"3,200.00",5.00,"16,000.00",800.00,"16,800.00"
Этап 3 — Техническая оптимизация,,,,,,,
Настройка редиректов 301 и устранение цепочек,1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
Настройка canonical-тегов (страница /investors/ дублирует главную),1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
"Внедрение hreflang между тремя доменами
(.ru / .com / .cn)",1 раз,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
"Внедрение микроразметки Schema.org
",1 раз,SEO-специалист,"3,200.00",6.00,"19,200.00",960.00,"20,160.00"
Настройка и валидация robots.txt,1 раз,SEO-специалист,"3,200.00",1.00,"3,200.00",160.00,"3,360.00"
"Мониторинг технических ошибок, исправление опечаток, обновление Sitemap.xml",ежемесячно,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
Этап 4 — On-page оптимизация,,,,,,,
- Написание / оптимизация Title для всех страниц,1 раз,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
"- Написание Meta Description для всех страниц
(уникальные описания 150–160 символов с ключевыми словами и CTA)",1 раз,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
"- Оптимизация H1–H6 заголовков (проверка иерархии, добавление ключевых слов, устранение пропусков уровней)",1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
"- Прописывание alt-атрибутов изображений
(все изображения, включая mainpic.jpg и карточки ценностей)",1 раз,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
- Оптимизация URL-структуры,1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
"- ТЗ на создание раздела /investors/ (финансовые показатели, облигации, ESG, отчётность)",1 раз,SEO-специалист,"3,200.00",6.00,"19,200.00",960.00,"20,160.00"
"- ТЗ на наполнение /business-directions/ (объёмы, география, партнёры НПЗ, виды продуктов)",1 раз,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
- Настройка внутренней перелинковки,1 раз,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
"- Анализ ссылочного профиля конкурентов
- Формирование стратегии внешнего линкбилдинга и подбор площадок",1 раз,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
"- Подбор площадок, аутрич, размещение внешних ссылок
- Мониторинг ссылочного профиля, отработка токсичных ссылок",ежемесячно,SEO-специалист,"3,200.00",5.00,"16,000.00",800.00,"16,800.00"
"- Доработка / добавление контента на страницы, alt-атрибутов",ежемесячно,SEO-специалист,"3,200.00",12.00,"38,400.00","1,920.00","40,320.00"
- Оптимизация посадочных страниц под новые запросы,ежеквартально,SEO-специалист,"3,200.00",6.00,"19,200.00",960.00,"20,160.00"
Этап 5 — Локальное SEO,,,,,,,
- Настройка Schema.org LocalBusiness,1 раз,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
- Интеграция iframe Яндекс.Карт,1 раз,Разработчик,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
"- Ведение карточек Яндекс Бизнес, мониторинг NAP-консистентности",ежемесячно,SEO-специалист,"3,200.00",6.00,"19,200.00",960.00,"20,160.00"
"- Мониторинг отзывов на площадках (Яндекс, 2ГИС, тематические сайты)
- Формирование реестра существующих отзывов",ежемесячно,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
"- Ответы на отзывы, работа с негативом
- Стимулирование новых положительных отзывов от клиентов",ежемесячно,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
Этап 6 — Аналитика и отчётность,,,,,,,
Настройка Яндекс Метрики,1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
,,Разработчик,"3,200.00",1.00,"3,200.00",160.00,"3,360.00"
Подключение Яндекс Вебмастер (3 домена: .ru / .com / .cn),1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
Настройка отслеживания позиций,1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
Ежемесячный отчёт о результатах,ежемесячно,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
Квартальный стратегический разбор,ежеквартально,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
Менеджмент проекта,,,,,,,
"Координация команды
Коммуникация с клиентом
Синхронизация задач и таймлайна",ежемесячно,Менеджер проекта,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
Предварительная стоимость разовых работ,,,,,"300,800.00","15,040.00","315,840.00"
Ежемесячная стоимость работ,,,,,"137,600.00","6,880.00","144,480.00"
Ежеквартальная стоимость работ,,,,,"44,800.00","2,240.00","47,040.00"
"Внешние расходы (ссылочный бюджет, размещения) — оплачиваются отдельно",,,,,15 000–25 000 ₽/мес,,
"📌 Результат через 1–3 месяца: устранение критических ошибок аудита, рост индексации, появление в расширенных сниппетах Яндекса. Рекомендуемый срок продвижения — от 6 месяцев.",,,,,,,
,,,,,,,
,,,,,,,
Сводка трудозатрат,,,,,,,
Направление,Разово (ч),Ежемесячно (ч),Примечание,,,,
1. Аудит и анализ,16,0,Разовый полный + квартальный мониторинг,,,,
2. Семантическое ядро,17,4,Расширение — раз в месяц,,,,
3. Техническая оптимизация,15,4,"Большая часть — разово, мониторинг — ежемесячно",,,,
4. On-page оптимизация,27,10,"Базовая оптимизация — разово, контент — регулярно",,,,
5. Локальное SEO,5,6,"Три офиса: Москва, Кондрово, Башкортостан",,,,
6. Аналитика и отчётность,7,3,"Настройка — разово, отчётность — ежемесячно",,,,
7. Менеджмент проекта,0,4,,,,,
ИТОГО,87,31,,,,,
