SEO-продвижение сайта kirillitsa.ru,Периодичность,Специалист,"Ставка, руб",Рабочие часы,"Цена, руб
без НДС 5%",НДС 5%,Стоимость с учетом НДС 5%
,,,,,,,
Этап 1 - Базовый технический аудит,,,,,,,
Технический SEO-аудит сайта,1 раз,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
"Аудит on-page (контент, метатеги, заголовки)",1 раз,SEO-специалист,"3,200.00",5.00,"16,000.00",800.00,"16,800.00"
Анализ конкурентов (ТОП-5 по нише),1 раз,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
Аудит ссылочного профиля,1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
Аудит скорости загрузки (Core Web Vitals),1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
"- Аудит систем аналитики и существующих метрик сайта
(Яндекс Метрика, Вебмастер, данные о трафике и конверсиях)",1 раз,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
Повторный техническихй аудит,ежеквартально,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
Этап 2 - Семантическое ядро,,,,,,,
"- Сбор семантического ядра
(коммерческие, брендовые, информационные запросы)",1 раз,SEO-специалист,"3,200.00",12.00,"38,400.00","1,920.00","40,320.00"
- Распределение запросов по страницам,1 раз,SEO-специалист,"3,200.00",5.00,"16,000.00",800.00,"16,800.00"
- Расширение семантики/ добавление новых кластеров,ежемесячно,SEO-специалист,"3,200.00",5.00,"16,000.00",800.00,"16,800.00"
Этап 3 - Техническая оптимизация,,,,,,,
- Настройка редиректов,1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
- Устранение дублирующих страниц,1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
- Внедрение микроразметки Schema.org,1 раз,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
"- Проверка и настройка robots.txt (закрытие /upload/, /local/)",1 раз,SEO-специалист,"3,200.00",1.00,"3,200.00",160.00,"3,360.00"
"- Исправление опечаток
- Обновление Sitemap.xml
- Мониторинг технических ошибок",ежемесячно,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
Этап 4 - On-page оптимизация,,,,,,,
- Написание / оптимизация Title для всех страниц,1 раз,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
